archiveID,pageNum,numPage,vName,vSciName,conf,sciName,date,locality,country,stateProvince,island,idQualifier,county,occStatus,habitat,assCollTaxa,assColl,locationRemarks,vTaxonRank,vElevM,vLat,vLon,vUTM,vCoordUncM,numPlantsCode,orgQuantity,orgQtype,occRemarks,phenology,recordedBy,idBy,dataEntryRemarks,index
8,3,10,Sphagnum,Sphagnum,h,Sphagnum,19961030,Saltspring Island; 6.0 kilometer lake,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,floating in lake,NA,NA,mostly open water in lake with Sphagnum mats,genus,NA,NA,NA,NA,NA,NA,NA,NA,2 Sphagnum mats in lake,NA,Harvey Janszen,NA,NA,41
8,3,12,Carex interior,Carex interior,h,Carex interior,19961030,Saltspring Island; 6.0 kilometer lake,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,NA,"Carex acuta, Rhynchospora alba","2634, 2635",NA,species,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Harvey Janszen,NA,NA,42
8,4,2,Ledum groenlandicum,Ledum groenlandicum,h,Rhododendron groenlandicum,19961030,Saltspring Island; 6.0 kilometer lake,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,NA,"Carex acuta, Rhynchospora alba","2634, 2635",NA,species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harvey Janszen,NA,NA,43
8,4,3,Agrostis scabra,Agrostis scabra,h,Agrostis scabra,19961030,Saltspring Island; 6.0 kilometer lake,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,NA,"Carex acuta, Rhynchospora alba","2634, 2635",NA,species,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Harvey Janszen,NA,NA,44
8,4,4,Drosera rotundifolia,Drosera rotundifolia,h,Drosera rotundifolia,19961030,Saltspring Island; 6.0 kilometer lake,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,NA,"Carex acuta, Rhynchospora alba","2634, 2635",NA,species,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Harvey Janszen,NA,NA,45
8,4,5,Spiraea douglasii,Spiraea douglasii,h,Spiraea douglasii,19961030,Saltspring Island; 6.0 kilometer lake,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,NA,"Carex acuta, Rhynchospora alba","2634, 2635",NA,species,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Harvey Janszen,NA,NA,46
8,4,6,Hypericum anagalloides,Hypericum anagalloides,h,Hypericum anagalloides,19961030,Saltspring Island; 6.0 kilometer lake,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,NA,"Carex acuta, Rhynchospora alba","2634, 2635",NA,species,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Harvey Janszen,NA,NA,47
8,4,7,Viola palustris,Viola palustris,h,Viola palustris,19961030,Saltspring Island; 6.0 kilometer lake,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,NA,"Carex acuta, Rhynchospora alba","2634, 2635",NA,species,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Harvey Janszen,NA,NA,48
8,4,8,Dulichium arundinaceum,Dulichium arundinaceum,m,Dulichium arundinaceum,19961030,Saltspring Island; 6.0 kilometer lake,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,NA,"Carex acuta, Rhynchospora alba","2634, 2635",NA,species,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Harvey Janszen,NA,NA,49
8,4,9,Carex lenticularis,Carex lenticularis,h,Carex lenticularis,19961030,Saltspring Island; 6.0 kilometer lake,Canada,British Columbia,Saltspring Island,NA,Southern Gulf Islands,present,NA,"Carex acuta, Rhynchospora alba","2634, 2635",NA,species,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Harvey Janszen,NA,NA,50
