occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
"HJO163","Trifolium oliganthum","Trifolium oliganthum Steud.","5359492","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium","Trifolium oliganthum","Trifolium oliganthum","Steud."
"HJO164","Arctium minus","Arctium minus (Hill) Bernh.","5393103","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Arctium","Arctium minus","Arctium minus","(Hill) Bernh."
"HJO165","Spergularia rubra","Spergularia rubra (L.) J.Presl & C.Presl","3085633","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Spergularia","Spergularia rubra","Spergularia rubra","(L.) J.Presl & C.Presl"
"HJO166","Rosa nutkana","Rosa nutkana C.Presl","3011070","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Rosa","Rosa nutkana","Rosa nutkana","C.Presl"
"HJO167","Gnaphalium uliginosum","Gnaphalium uliginosum L.","5390848","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Gnaphalium","Gnaphalium uliginosum","Gnaphalium uliginosum","L."
"HJO168","Lemna minor","Lemna minor L.","2867589","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Lemna","Lemna minor","Lemna minor","L."
"HJO169","Ranunculus aquatilis","Ranunculus aquatilis L.","3033464","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus aquatilis","Ranunculus aquatilis","L."
"HJO17","Hypochaeris radicata","Hypochaeris radicata L.","3093702","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Hypochaeris","Hypochaeris radicata","Hypochaeris radicata","L."
"HJO170","Prunus emarginata","Prunus emarginata (Douglas ex Hook.) Walp.","3020783","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus emarginata","Prunus emarginata","(Douglas ex Hook.) Walp."
"HJO171","Adenocaulon bicolor","Adenocaulon bicolor Hook.","3092979","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Adenocaulon","Adenocaulon bicolor","Adenocaulon bicolor","Hook."
"HJO172","Clinopodium douglasii","Clinopodium douglasii (Benth.) Kuntze","2926908","EXACT","98","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Micromeria","Micromeria douglasii","Clinopodium douglasii","(Benth.) Kuntze"
"HJO173","Achlys triphylla","Achlys triphylla (Sm.) DC.","5371714","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","Achlys","Achlys triphylla","Achlys triphylla","(Sm.) DC."
"HJO174","Populus tremuloides","Populus tremuloides Michx.","3040215","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Populus","Populus tremuloides","Populus tremuloides","Michx."
"HJO175","Typha latifolia","Typha latifolia L.","5289423","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Typhaceae","Typha","Typha latifolia","Typha latifolia","L."
"HJO176","Eleocharis palustris","Eleocharis palustris (L.) Roem. & Schult.","2717002","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Eleocharis","Eleocharis palustris","Eleocharis palustris","(L.) Roem. & Schult."
"HJO177","Veronica officinalis","Veronica officinalis L.","3172049","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Veronica","Veronica officinalis","Veronica officinalis","L."
"HJO178","Ranunculus flammula","Ranunculus flammula L.","3033312","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus flammula","Ranunculus flammula","L."
"HJO179","Campanula scouleri","Campanula scouleri Hook. ex A.DC.","5409860","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Campanula","Campanula scouleri","Campanula scouleri","Hook. ex A.DC."
"HJO18","Dactylis glomerata","Dactylis glomerata L.","2705308","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Dactylis","Dactylis glomerata","Dactylis glomerata","L."
"HJO180","Acer glabrum","Acer glabrum Torr.","3189864","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer glabrum","Acer glabrum","Torr."
"HJO182","Stellaria media","Stellaria media (L.) Vill.","5384604","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Stellaria","Stellaria media","Stellaria media","(L.) Vill."
"HJO183","Myriophyllum","Myriophyllum Cuif, 1975","3250263","EDITED","99","ACCEPTED","GENUS","Animalia","Cnidaria","Anthozoa","Scleractinia","Pamiroseriidae","Myriophyllum",,"Myriophyllum",
"HJO184","Potamogeton natans","Potamogeton natans L.","5301147","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton natans","Potamogeton natans","L."
"HJO185","Cardamine pensylvanica","Cardamine pensylvanica Muhl.","3045880","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Cardamine","Cardamine pensylvanica","Cardamine pensylvanica","Muhl."
"HJO186","Berberis aquifolium","Berberis aquifolium Pursh","3033868","EXACT","97","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","Mahonia","Mahonia aquifolium","Berberis aquifolium","Pursh"
"HJO187","Lathyrus nevadensis","Lathyrus nevadensis S.Watson","5356650","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lathyrus","Lathyrus nevadensis","Lathyrus nevadensis","S.Watson"
"HJO188","Ranunculus acris","Ranunculus acris L.","3033363","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus acris","Ranunculus acris","L."
"HJO189","Anthriscus caucalis","Anthriscus caucalis M.Bieb.","5371743","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Anthriscus","Anthriscus caucalis","Anthriscus caucalis","M.Bieb."
"HJO19","Bromus pacificus","Bromus pacificus Shear","2703653","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Bromus","Bromus pacificus","Bromus pacificus","Shear"
"HJO190","Phleum pratense","Phleum pratense L.","9014945","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Phleum","Phleum pratense","Phleum pratense","L."
"HJO191","Nuphar polysepala","Nuphar polysepala Engelm.","6434926","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Nymphaeales","Nymphaeaceae","Nuphar","Nuphar polysepala","Nuphar polysepala","Engelm."
