occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
"HJC-1992","Elymus mollis","Leymus Hochst.","2706325","EDITED","97","ACCEPTED","GENUS","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Leymus",,"Leymus","Hochst."
"HJC-1993","Sonchus oleraceus","Sonchus oleraceus L.","8228544","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Sonchus","Sonchus oleraceus","Sonchus oleraceus","L."
"HJC-1994","Polypogon monspeliensis","Polypogon monspeliensis (L.) Desf.","5289917","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Polypogon","Polypogon monspeliensis","Polypogon monspeliensis","(L.) Desf."
"HJC-2000","Sherardia arvensis","Sherardia arvensis L.","5339050","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Sherardia","Sherardia arvensis","Sherardia arvensis","L."
"HJC-2002","Trisetum cernuum","Trisetum cernuum Trin.","2704378","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Trisetum","Trisetum cernuum","Trisetum cernuum","Trin."
"HJC-2003","Euphrasia officinalis","Euphrasia officinalis L.","8106874","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Euphrasia","Euphrasia officinalis","Euphrasia officinalis","L."
"HJC-2004","Pyrola aphylla","Pyrola aphylla Sm.","2888261","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Pyrola","Pyrola aphylla","Pyrola aphylla","Sm."
"HJC-2005","Distichlis spicata","Distichlis spicata (L.) Greene","2704509","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Distichlis","Distichlis spicata","Distichlis spicata","(L.) Greene"
"HJC-2006","Spergularia marina","Spergularia marina (L.) Besser","7736551","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Spergularia","Spergularia marina","Spergularia marina","(L.) Besser"
"HJC-2007","Blechnum spicant","Blechnum spicant (L.) Roth","7742948","EDITED","97","SYNONYM","SPECIES","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Blechnaceae","Struthiopteris","Struthiopteris spicant","Blechnum spicant",
"HJC-2008","Platanthera unalascensis","Platanthera unalascensis (Spreng.) Kurtz","2797023","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Platanthera","Platanthera unalascensis","Platanthera unalascensis","(Spreng.) Kurtz"
"HJC-2009","Senecio vulgaris","Senecio vulgaris L.","3108983","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Senecio","Senecio vulgaris","Senecio vulgaris","L."
"HJC-2011","Melica harfordii","Melica harfordii Bol.","2703125","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Melica","Melica harfordii","Melica harfordii","Bol."
