occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
"123","Kalmia polifolia","Kalmia polifolia Wangenh.","2882990","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Kalmia","Kalmia polifolia","Kalmia polifolia","Wangenh."
"126","Ranunculus flammula","Ranunculus flammula L.","3033312","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus flammula","Ranunculus flammula","L."
"129","Juncus effusus","Juncus effusus L.","2701311","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","Juncus","Juncus effusus","Juncus effusus","L."
"130","Torreyochloa pallida pauciflora","Torreyochloa pallida var. pauciflora (J.Presl) J.I.Davis","4124296","EXACT","98","ACCEPTED","VARIETY","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Torreyochloa","Torreyochloa pallida","Torreyochloa pallida pauciflora","(J.Presl) J.I.Davis"
"136","Elodea canadensis","Elodea canadensis Michx.","2865448","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","Elodea","Elodea canadensis","Elodea canadensis","Michx."
"139","Cicuta douglasii","Cicuta douglasii (DC.) J.M.Coult. & Rose","5371862","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Cicuta","Cicuta douglasii","Cicuta douglasii","(DC.) J.M.Coult. & Rose"
"140","Sium suave","Sium suave Walter","3034526","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Sium","Sium suave","Sium suave","Walter"
"141","Lysimachia thyrsiflora","Lysimachia thyrsiflora L.","3169358","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Lysimachia","Lysimachia thyrsiflora","Lysimachia thyrsiflora","L."
"144","Cornus sericea","Cornus sericea L.","3082244","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","Cornus","Cornus sericea","Cornus sericea","L."
"152","Oenanthe sarmentosa","Oenanthe sarmentosa C.Presl ex DC.","5371891","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Oenanthe","Oenanthe sarmentosa","Oenanthe sarmentosa","C.Presl ex DC."
"154","Phalaris arundinacea","Phalaris arundinacea L.","5289756","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Phalaris","Phalaris arundinacea","Phalaris arundinacea","L."
"173","Sparganium e","Sparganium L.","2702260","EDITED","68","ACCEPTED","GENUS","Plantae","Tracheophyta","Liliopsida","Poales","Typhaceae","Sparganium",,"Sparganium",
"176","Myosotis laxa","Myosotis laxa Lehm.","5341182","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","Myosotis","Myosotis laxa","Myosotis laxa","Lehm."
"177","Typha","Typha L.","2702102","EXACT","94","ACCEPTED","GENUS","Plantae","Tracheophyta","Liliopsida","Poales","Typhaceae","Typha",,"Typha","L."
