Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
PMJUN011Z5,Juncus nevadensis var. inventus,dune rush,,S2S3 (2021),Blue,G5T3T4 (2009),,,,,Y,
PMJUN011Z4,Juncus nevadensis var. nevadensis,Sierra rush,,S3S4 (2015),Yellow,G5T4T5 (2002),,,,,,
PMJUN01210,Juncus nodosus,tuberous rush,,S5 (2019),Yellow,G5 (2016),,,,,,
PMJUN012S6,Juncus occidentalis,western rush,,S3S4 (2022),Yellow,G5 (2004),,,,,,
PMJUN01240,Juncus oxymeris,pointed rush,,S3S4 (2019),Yellow,G5 (1993),,,,,,
PMJUN01250,Juncus parryi,Parry's rush,,S5 (2019),Yellow,G4G5 (1987),,,,,,
PMJUN01270,Juncus pelocarpus,brown-fruit rush,,SNA (2019),Exotic,G5 (2016),,,,,,
PMJUN0111J,Juncus pylaei,soft rush,,SNA (2007),Exotic,G5T5? (2000),,,,,,
PMJUN012D0,Juncus regelii,Regel's rush,,S4 (2022),Yellow,G4 (2016),,,,,,
PMJUN01410,Juncus saximontanus,Rocky Mountain rush,,S5 (2019),Yellow,G5 (2016),,,,,,
PMJUN012M0,Juncus squarrosus,mosquito rush,,SNA (2019),Exotic,GNR,,,,,,
PMJUN012N1,Juncus stygius var. americanus,bog rush,,S4 (2019),Yellow,G5T5 (2016),,,,,,
PMJUN012R0,Juncus supiniformis,spreading rush,,S5 (2019),Yellow,G5 (2016),,,,,,
PMJUN01430,Juncus tenuis,slender rush,,S5 (2019),Yellow,GNR,,,,,,
PMJUN012V0,Juncus torreyi,Torrey's rush,,S4S5 (2019),Yellow,G5 (2016),,,,,,
PMJUN01060,Juncus triglumis ssp. albescens,whitish rush,,S4? (2019),Yellow,G5 (2016),,,,,,
PMJUN012Z0,Juncus triglumis ssp. triglumis,three-flowered rush,,SU (2020),Unknown,G5 (2016),,,,,,
PMJUN01340,Juncus vaseyi,Vasey's rush,,S4S5 (2019),Yellow,G5 (2016),,,,,,
NBHEP1P010,Jungermannia atrovirens,,,S3 (2021),Blue,G4G5 (1991),,,,,,
NBHEP1P0L0,Jungermannia borealis,,,S1S2 (2015),Red,GNR,,,,,,
NBHEP1P061,Jungermannia exsertifolia ssp. cordifolia,,,S4 (2021),Yellow,G5?T3T5 (1999),,,,,,
NBHEP1P0D0,Jungermannia polaris,,,SU (2021),Unknown,G4 (2004),,,,,,
NBHEP1P0P0,Jungermannia pumila,,,SU (2021),Unknown,G5 (1991),,,,,,
PGCUP05034,Juniperus communis var. charlottensis,Haida Gwaii juniper,,S3S4 (2012),Yellow,G5T3T4 (2016),,,,,,
PGCUP05031,Juniperus communis var. depressa,dwarf juniper,,S5 (2012),Yellow,G5T5 (2016),,,,,,
PGCUP05036,Juniperus communis var. kelleyi,Kelley's juniper,,S5 (2017),Yellow,G5TNR,,,,,,
PGCUP05070,Juniperus horizontalis,creeping juniper,,S5 (2019),Yellow,G5 (2016),,,,,,
PGCUP050J0,Juniperus maritima,seaside juniper,,S4S5 (2019),Yellow,G3G4 (2016),,,,,,
