mounting number,specimen?,match description?,entry_notes,collection number,LabelQty ,Genus,Qualifier,Species,Species Author,Subspecies,Subspecies Author,Variety,Variety Author,Forma,Forma Author,Cultivar,Country,ProvinceState,Location,VLatDegree,VLatMinute,VLatSecond,VLongDegree,VLongMinute,VLongSecond,UTM,Grid Reference,VDatum,VCoordinateUncertainty,Habitat,Altitude,Date Collected,Primary Collector,Other Collectors,Collector Number,Determined By,Determination Date,Field Notes,Original Herbarium,Research Annotation,Citations,Genbank,BOLD Number,Georeference Notes,Extra Notes
,Y,Y,,2939,1,Clarkia ,,purpurea,,,,,,,,,Canada,British Columbia,"North Cowichan, Mount Tzouhalem Ecological Reserve",,,,,,,10U 453183 5404165,,,1 m ,"Shallow soil, grassy slope; Growing with Clarkia amoena, Symphoricarpos albus, Bromus hordeaceus, Festuca bromoides, Lomatium utriculatum, Elymus glaucus, Racomitrium canescens, Camassia leichtlinii, Danthonia californica, Carex inops, Aira caryophyllea, Lotus pedunculatus, Hesperostipa comata",230 m ,2002 06 21,Harvey Janszen,,2939,,,23 plants; SE polygon V0924; slope 25 percent; page 152 HJ9,,,,,,,could not decipher some associated species 
,Y,Y,,2940,1,Rupertia ,,physodes,,,,,,,,,Canada,British Columbia,"North Cowichan, Mount Tzouhalem Ecological Reserve",,,,,,,10U 453493 5403249,,,,"Fir-arbutus woodland;  At edges of vertical cliffs; growing with Rosa gymnocarpa, Hieracium albiflorum, Campanula scouleri, Berberis aquifolium",279 m ,2002 06 21,Harvey Janszen,,2940,,,scattered plants along ridge; 7 plus to several hundred; slope 20 percent; from UTM to cross and prob beyond; page 152 HJ9,,,,,,,updated taxon name from verbatim Psoralea phydoes
,Y,Y,,2941,1,Melica,,harfordii,,,,,,,,,Canada,British Columbia,"North Cowichan, west edge of Mount Tzouhalem Ecological Reserve",,,,,,,,,,,Rock ravines and ledges; Growing with Clarkia and etc,,2002 06 21,Harvey Janszen,,2941,,,page 153 HJ9,,,,,,,
,Y,Y,,2942,1,Melica ,,smithii,,,,,,,,,Canada,British Columbia,"Galiano Island, Bodega Ridge",,,,,,,10U 461246 5422791,,,,"Moderately steep mossy rock outcrop; Growing with Carex inops, Bromus hordeaceus, Racomitrium canescens, Festuca bromoides, Arctostaphylos columbiana, Hypochaeris radicata, Cytisus scoparius, Koeleria macrantha",220 m ,2002 06 26,Harvey Janszen,,2942,,,several hundred (say 200); scattered over area 30 m by 200 m; slope 70 percent; page 155 HJ9,,,,,,,could not decipher some associated species 
,Y,Y,,2943,1,Glyceria ,,leptostachya,,,,,,,,,Canada,British Columbia,"Galiano Island, Mount Galiano ",,,,,,,10U 473362 5412450,,,,"Small wetland; Growing with Carex obnupta, Eleocharis palustris, Myostis laxa",300 m ,2002 06 26,Harvey Janszen,,2943,,,page 157 HJ9,,,,,,,could not decipher some associated species 
,Y,Y,,2944,1,Clarkia ,,purpurea,,,,,,,,,Canada,British Columbia,"Saturna Island, east of Brown Ridge, just above Taylor Point, about 30 m below ridge",,,,,,,10U 489950 5401797,,,,"On rocky ledge outcrops on grassland bluff; Growing with Bromus sterilis, Hesperostipa comata, Cynosurus cristatus, Aira caryophyllea, Hypochaeris radicata , Silene gallica, Madia gracilis, Selaginella wallacei, Trifolium microdon, Daucus pusillis, Pteridium aquilinum, Epilobium adenocaulon, Rumex, Lepidium virginicum",202 m ,2002 07 11,Harvey Janszen,,2944,,,"15 plants observed in 1.5 by 0.5 m area (photo); deteailed search area 20 m in all directions, 13 additional in 2 by 2 m area 10 m upslope; additional 62 plants at 10U 48990 5401795 in 2 by 3 m area 50 m to west with same associated species at 223 m; slope 80 percent, aspect 180 degrees; page 159 HJ9",,,,,,,could not decipher some associated species 
,Y,Y,,2945,1,Clarkia,,purpurea,,,,quadrivulnera,,,,,Canada,British Columbia,"Saturna Island, Brown Ridge",,,,,,,10U 488953 5401935,,,,"[Grass bluff]? with some rock outcrop; Growing with Bromus sterilis, Anthoxanthum odoratum,  Silene gallica, Selaginella wallacei, Hypochaeris radicata, Festuca bromoides, Rumex, Madia gracilis",291 m ,2002 07 11,Harvey Janszen,,2945,,,"5 plants widely spaced, all greater than 1 m apart; additional clumps of 2 plants 5 m west of same ledge;  slope 40 percent, aspect 190 degrees; page 161 HJ9",,,,,,,
,Y,Y,not sure if that is the species collected,2946,1,Linum ,,bienne,,,,,,,,,Canada,British Columbia,Hornby Island ,,,,,,,10U 377049 5485600,,,2 m ,"Open area at top of ventrile cliff; Growing with Racomitrium canescens, Danthonia californica, Carex inops, Trifolium willdenovii, Cynosurus echinatus, Madia gracilis, Eriophyllum lanatum, Epilobium sp, Anthoxanthum odoratum",139 m ,2002 07 23,Harvey Janszen,,2946,,,unknown collection on lower cliffs; approx 100 plants over 10 m of cliff; slope 15 percent; two large Clarkia anoema nearby; page 165 HJ9,,,,,,,
,Y,Y,,2947,1,Triglochin,?,sp,,,,,,,,,Canada,British Columbia,"Hornby Island, Whaling Station Bay, Helliwell Park shoreline to 1 km northwest of park boundary ",,,,,,,,,,,"Growing with Distichlis spicata, Plantago maritima, Atriplex patula",,2002 07 23,Harvey Janszen,,2947,,,page 166 HJ9,,,,,,,
,Y,Y,,2948,1,Allium ,,amplectens,,,,,,,,,Canada,British Columbia,,,,,,,,10U 467079 5379143,,,,"Oak-Symphoricarpos woordland growing with; Quercus, Symphoricarpos albus, Delphinium menziesii, Rosa canina, Dactylis glomerata, Vicia sativa, Anthoxanthum odoratum, Poa pratensis, Vicia hirsuta, Galium aparine, Geranium molle, Trifolium dubium, Plectritis congesta, Bromus hordeaceus, Veronica arvensis ",109 m ,2003 06 03,Harvey Janszen,,2948,,,"approx 1200 plants over area 6 by 5 m; slope 10 percent, aspect 290 degrees; page 191 HJ9",,,,,,,could not decipher some associated species 
